split,model,target,n_pos,capture@1%,capture@5%,capture@10%,capture@20%,capture_auc,roc_auc_pu,top1_acc,cross_entropy,mass_on_present
cv1,class_prior,composition,10989,,,,,,,0.34474133295601767,2.327324390411377,0.26763829588890076
cv2,nn,all,12172,0.3063588563917187,0.611731843575419,0.703089056851791,0.8168747946105817,0.8980317240246235,0.903234235152847,,,
cv2,nn,non_us,4145,0.06441495778045839,0.2436670687575392,0.3741857659831122,0.5922798552472859,0.7892466876730436,0.7905229427658554,,,
cv2,nn,world_class,876,0.04908675799086758,0.17922374429223745,0.3801369863013699,0.6095890410958904,0.7927071238041502,0.7929794897315541,,,
cv2,knn,all,12172,0.08314163654288531,0.21393361813999343,0.33503121919158724,0.5136378573775879,0.7481669460543351,0.7514110067503398,,,
cv2,knn,non_us,4145,0.039324487334137515,0.11459589867310012,0.20820265379975875,0.3575392038600724,0.6257935879162057,0.6263483323158413,,,
cv2,knn,world_class,876,0.04337899543378995,0.1267123287671233,0.22945205479452055,0.363013698630137,0.6144928893082561,0.6145987974625045,,,
cv2,gbm,all,12172,0.21335852776864936,0.6116496878080842,0.7442490962865593,0.8427538613210648,0.9019930905776867,0.9072483133592781,,,
cv2,gbm,non_us,4145,0.08829915560916768,0.24632086851628468,0.39951749095295536,0.5942098914354644,0.7906777560498703,0.791960330720461,,,
cv2,gbm,world_class,876,0.04794520547945205,0.2522831050228311,0.4440639269406393,0.6449771689497716,0.8094007446378831,0.8096878496700102,,,
cv2,nn,composition,12172,,,,,,,0.3218564051880911,2.2177650928497314,0.41096651554107666
cv2,class_prior,composition,12172,,,,,,,0.2628199512881624,2.3824427127838135,0.26579439640045166
cv3,nn,all,7235,0.14830684174153422,0.4776779543883898,0.6707671043538356,0.8181064270905322,0.8847172967144811,0.8879673425068765,,,
cv3,nn,non_us,4443,0.03196038712581589,0.27886563133018233,0.5264460949808688,0.7242853927526446,0.8379809032295253,0.8397283230179649,,,
cv3,nn,world_class,711,0.03938115330520394,0.20956399437412096,0.3881856540084388,0.6244725738396625,0.8108284546810008,0.8110840141727229,,,
cv3,knn,all,7235,0.11941948859709745,0.27394609536973047,0.39778852798894265,0.5481686247408432,0.7583311846229246,0.7605133436650517,,,
cv3,knn,non_us,4443,0.08260184559981994,0.2095431015079901,0.34391177132568085,0.5023632680621202,0.7135489675678152,0.7146528384582558,,,
cv3,knn,world_class,711,0.08157524613220815,0.19971870604781997,0.2770745428973277,0.37130801687763715,0.6346503263263317,0.6347607063675268,,,
cv3,gbm,all,7235,0.17553559087767795,0.4966136834830684,0.6511402902557014,0.8027643400138217,0.8807764981859832,0.8839937854923138,,,
cv3,gbm,non_us,4443,0.038037362142696374,0.3324330407382399,0.5196939005176683,0.7074049065946433,0.8347138489573643,0.8364451417605857,,,
cv3,gbm,world_class,711,0.030942334739803096,0.22644163150492264,0.44022503516174405,0.639943741209564,0.8093500512974977,0.8096039213850177,,,
cv3,nn,composition,7235,,,,,,,0.4198042328233763,1.9656423330307007,0.39745083451271057
cv3,class_prior,composition,7235,,,,,,,0.2396309842342313,2.349825620651245,0.20878423750400543
cv4,nn,all,12460,0.15160513643659712,0.44686998394863564,0.6159711075441413,0.7954253611556983,0.879314267758643,0.884232671505455,,,
cv4,nn,non_us,6228,0.020552344251766216,0.21339113680154143,0.42196531791907516,0.6701991008349389,0.827065884671572,0.8291717080799547,,,
cv4,nn,world_class,938,0.06716417910447761,0.2697228144989339,0.44989339019189767,0.6364605543710021,0.8195654508633645,0.8198732280560135,,,
cv4,knn,all,12460,0.08154093097913323,0.20874799357945426,0.32479935794542536,0.465569823434992,0.7114339852999364,0.7141753255725722,,,
cv4,knn,non_us,6228,0.0626204238921002,0.1859344894026975,0.3037893384714194,0.45215157353885677,0.7213701002284227,0.7227952313306278,,,
cv4,knn,world_class,938,0.05650319829424307,0.12153518123667377,0.21961620469083157,0.34968017057569295,0.6456132223782463,0.6457531767596657,,,
cv4,gbm,all,12460,0.15513643659711077,0.4888443017656501,0.6435794542536115,0.786115569823435,0.8830303243027624,0.8879970452757824,,,
cv4,gbm,non_us,6228,0.019107257546563904,0.2113037893384714,0.4341682723185613,0.6543031470777135,0.8207721348097684,0.8228376879343796,,,
cv4,gbm,world_class,938,0.07356076759061833,0.34968017057569295,0.5181236673773987,0.6918976545842217,0.8467478761789051,0.8470818589751459,,,
cv4,nn,composition,12460,,,,,,,0.3744996043866511,2.131844997406006,0.4121876060962677
cv4,class_prior,composition,12460,,,,,,,0.2709128944179869,2.4807252883911133,0.2606830596923828
holdout_south_america,nn,all,8394,0.025970931617822254,0.11901358112937813,0.21003097450559924,0.44174410293066474,0.7168359682417198,0.7203575356850005,,,
holdout_south_america,nn,non_us,8394,0.025970931617822254,0.11901358112937813,0.21003097450559924,0.44174410293066474,0.7168359682417198,0.7203575356850005,,,
holdout_south_america,nn,world_class,341,0.0469208211143695,0.15542521994134897,0.21700879765395895,0.4310850439882698,0.6903869010630204,0.6905097073070008,,,
