split,model,target,n_pos,capture@1%,capture@5%,capture@10%,capture@20%,capture_auc,roc_auc_pu,top1_acc,cross_entropy,mass_on_present
cv1,knn,world_class,997,0.0732196589769308,0.19859578736208625,0.3069207622868606,0.4573721163490471,0.7140691487615703,0.7143064294844386,,,
cv1,gbm,all,6107,0.07532339937776322,0.35205501883084983,0.5737678074340921,0.7900769608645817,0.873973495636351,0.8765325454439694,,,
cv1,gbm,non_us,2662,0.040946656649135986,0.2836213373403456,0.4962434259954921,0.6975957926371149,0.8371335195189471,0.8381348237764593,,,
cv1,gbm,world_class,997,0.03510531594784353,0.20260782347041123,0.34704112337011034,0.5546639919759278,0.7871792511422687,0.7874975142675674,,,
cv1,nn,composition,6107,,,,,,,0.4049451449156705,2.093045234680176,0.4414788484573364
cv1,class_prior,composition,6107,,,,,,,0.37121336171606356,2.264425039291382,0.3041778802871704
cv2,nn,all,7189,0.07163722353595771,0.20573097788287661,0.3460842954513841,0.6519682848796773,0.8159384576420494,0.8183645703695881,,,
cv2,nn,non_us,2396,0.08263772954924875,0.26168614357262104,0.38480801335559267,0.5914023372287145,0.7909730826634078,0.7917136106758766,,,
cv2,nn,world_class,876,0.028538812785388126,0.09817351598173515,0.2191780821917808,0.4931506849315068,0.7544948407735877,0.7547308901948808,,,
cv2,knn,all,7189,0.09138962303519266,0.2303519265544582,0.3424676589233551,0.5187091389623035,0.7570602058401636,0.759034093857591,,,
cv2,knn,non_us,2396,0.045075125208681135,0.12896494156928215,0.2124373956594324,0.36352253756260433,0.6340586962049468,0.6343995935546672,,,
cv2,knn,world_class,876,0.0547945205479452,0.14726027397260275,0.2408675799086758,0.3744292237442922,0.6292047534767412,0.6293243385751568,,,
cv2,gbm,all,7189,0.07094171651133677,0.3133954652941995,0.5459730143274447,0.7909305883989428,0.8667087391234516,0.8695248130118634,,,
cv2,gbm,non_us,2396,0.07470784641068448,0.24123539232053423,0.39482470784641066,0.6323038397328882,0.8082017204734094,0.8089861358564636,,,
cv2,gbm,world_class,876,0.0319634703196347,0.182648401826484,0.3595890410958904,0.6221461187214612,0.8027533673549052,0.8030342926257921,,,
cv2,nn,composition,7189,,,,,,,0.3355125886771456,2.183340311050415,0.4315802752971649
cv2,class_prior,composition,7189,,,,,,,0.2745861733203505,2.345759391784668,0.3015351891517639
cv3,nn,all,4105,0.061632155907429965,0.2626065773447016,0.44043848964677224,0.6596833130328867,0.8233710861611763,0.824915109709972,,,
cv3,nn,non_us,2385,0.07505241090146751,0.20670859538784067,0.33249475890985325,0.5505241090146751,0.7806558682470848,0.781432600249236,,,
cv3,nn,world_class,711,0.04781997187060478,0.18143459915611815,0.32489451476793246,0.5682137834036568,0.7729079819591114,0.7731322811774046,,,
cv3,knn,all,4105,0.13714981729598053,0.3010962241169306,0.40828258221680874,0.5661388550548112,0.7731267930858478,0.7744308198893366,,,
cv3,knn,non_us,2385,0.08092243186582809,0.23144654088050315,0.3517819706498952,0.5052410901467506,0.7195591223682266,0.7201666413036866,,,
cv3,knn,world_class,711,0.090014064697609,0.21659634317862167,0.2770745428973277,0.3952180028129395,0.6563777578066039,0.6565060442526034,,,
cv3,gbm,all,4105,0.03654080389768575,0.26114494518879416,0.47868453105968334,0.6879415347137637,0.832199263089761,0.8337860689801564,,,
cv3,gbm,non_us,2385,0.03480083857442348,0.20335429769392033,0.3580712788259958,0.559329140461216,0.7855433116468449,0.7863336044333534,,,
cv3,gbm,world_class,711,0.0450070323488045,0.21940928270042195,0.40646976090014064,0.6272855133614628,0.8124918700257818,0.8127487970164672,,,
cv3,nn,composition,4105,,,,,,,0.41218026796589524,2.0202834606170654,0.39404696226119995
cv3,class_prior,composition,4105,,,,,,,0.23824604141291109,2.3449649810791016,0.22730563580989838
cv4,nn,all,6145,0.03612693246541904,0.1793327908868999,0.35834011391375103,0.6465419039869813,0.8168079625562217,0.818820360721693,,,
cv4,nn,non_us,2529,0.048240411229735075,0.23289837880585212,0.3934361407671016,0.6097271648873073,0.8055458649475759,0.806341346144421,,,
