fold,model,task,capture@1%,capture@5%,capture@10%,capture@20%,capture_auc,roc_auc_pu,top1_acc,cross_entropy,mass_on_present
3,lr_mean,presence_producer,0.03536141445657826,0.1622464898595944,0.2906916276651066,0.4825793031721269,0.7349565042838582,0.7636592108304022,,,
3,gbm,presence_all,0.037703995498030385,0.1634777715250422,0.2926280247608329,0.4915588069780529,0.7471711137180063,0.8094677246705211,,,
3,gbm,presence_producer,0.052002080083203325,0.20956838273530942,0.3608944357774311,0.5683827353094124,0.7769134633464898,0.8107473853774808,,,
3,nn,presence_all,0.0357343837929094,0.1570061902082161,0.2886888013505909,0.49690489589195275,0.7425238256703024,0.8036484845164534,,,
3,nn,presence_producer,0.0452418096723869,0.19032761310452417,0.34321372854914195,0.5709828393135725,0.7720749154100579,0.8053170969372482,,,
3,nn_ssl,presence_all,0.03629712999437254,0.1494091164884637,0.27124366910523356,0.48480585256049524,0.7423739311545219,0.803460779329018,,,
3,nn_ssl,presence_producer,0.0436817472698908,0.18044721788871554,0.313052522100884,0.5543421736869475,0.7707681889187507,0.8038506111600352,,,
3,gbm,composition,,,,,,,0.48305959342452476,1.9996080244651095,0.584553260831821
3,nn,composition,,,,,,,0.49397035467828143,1.774462342262268,0.5549196004867554
3,nn_ssl,composition,,,,,,,0.49217103601161416,1.7925695180892944,0.5536937117576599
3,class_prior,composition,,,,,,,0.3612036187490592,2.236631155014038,0.35858893394470215
4,knn,presence_all,0.03302050747306222,0.14042405283281195,0.24852276677094196,0.4056308654848801,0.6753195597664249,0.7122782199870501,,,
4,knn,presence_producer,0.04260813428018076,0.1684958037443512,0.28405422853453843,0.4422207876049064,0.696126638816879,0.7163980038434358,,,
4,lr_mean,presence_all,0.0267639902676399,0.12234966979492527,0.2464372610358012,0.4435175530066041,0.7204084480644632,0.7668816111186998,,,
4,lr_mean,presence_producer,0.0316333118140736,0.1368624919302776,0.27437056165267915,0.48999354422207875,0.7494658079346832,0.775259320599489,,,
4,gbm,presence_all,0.049356969064998264,0.20994091067083767,0.35627389641988183,0.5429266597149809,0.7618678583096465,0.8170896441653641,,,
4,gbm,presence_producer,0.07617817947062622,0.29244673983214975,0.4590058102001291,0.6384764364105875,0.8107770475531327,0.8429180478645752,,,
4,nn,presence_all,0.04970455335418839,0.17413972888425444,0.313521028849496,0.5220716023635732,0.7538169380007181,0.8073398462175339,,,
